gene_id,gene_name,eggNOG_OGs,Description,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs,accession,old_locus_tag,start,end,strand,gene_product,COG,operon
XNR_RS00055,XNR_RS00055,"COG1309@1|root,COG1309@2|Bacteria,2GNR9@201174|Actinobacteria",transcriptional regulator,-,-,-,-,-,-,-,-,-,-,-,TetR_N,NC_020990.1,XNR_0011,11920,12510,+,TetR/AcrR family transcriptional regulator,Transcription,Op8
XNR_RS00060,XNR_RS00060,"2DK8Q@1|root,308W1@2|Bacteria,2GUDM@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_0012,12520,13107,-,hypothetical protein,-,Op9
XNR_RS00065,XNR_RS00065,"COG0346@1|root,COG0346@2|Bacteria,2GPIT@201174|Actinobacteria",lactoylglutathione lyase activity,-,-,-,-,-,-,-,-,-,-,-,Glyoxalase,NC_020990.1,XNR_0013,13154,13507,-,glyoxalase,Amino acid transport and metabolism,Op10
XNR_RS00070,XNR_RS00070,"COG0346@1|root,COG0346@2|Bacteria",lactoylglutathione lyase activity,-,-,-,-,-,-,-,-,-,-,-,"Glyoxalase,Glyoxalase_2",NC_020990.1,XNR_0014,13725,14153,+,VOC family protein,Amino acid transport and metabolism,Op11
XNR_RS00075,XNR_RS00075,"COG0477@1|root,COG0477@2|Bacteria,2GIUM@201174|Actinobacteria",Major facilitator superfamily,-,-,ko:K08167,-,"M00713,M00714",-,-,"ko00000,ko00002,ko01504,ko02000",2.A.1.3,-,-,MFS_1,NC_020990.1,XNR_0015,14238,15794,-,MFS transporter,Amino acid transport and metabolism,Op12
XNR_RS00080,XNR_RS00080,"COG3208@1|root,COG3208@2|Bacteria,2IB45@201174|Actinobacteria",Thioesterase domain,-,-,-,-,-,-,-,-,-,-,-,Thioesterase,NC_020990.1,XNR_0016,15791,16633,-,thioesterase domain-containing protein,"Secondary metabolites biosynthesis, transport and catabolism",Op12
XNR_RS00085,hdaH,"COG0123@1|root,COG0123@2|Bacteria,2GJUH@201174|Actinobacteria",histone deacetylase,-,-,-,-,-,-,-,-,-,-,-,Hist_deacetyl,NC_020990.1,XNR_0017,16626,17774,-,class II histone deacetylase,Chromatin structure and dynamics,Op13
XNR_RS00090,XNR_RS00090,"2A2C9@1|root,30QP8@2|Bacteria,2IKQM@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_0018,17771,18079,-,hypothetical protein,-,Op13
XNR_RS31480,XNR_RS31480,"COG0156@1|root,COG0156@2|Bacteria,2GISV@201174|Actinobacteria",Catalyzes the cleavage of 2-amino-3-ketobutyrate to glycine and acetyl-CoA,-,-,-,-,-,-,-,-,-,-,-,"Aminotran_1_2,KR,PP-binding,PS-DH",NC_020990.1,XNR_0019,18145,21900,-,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,Amino acid transport and metabolism,Op14
XNR_RS00100,XNR_RS00100,"COG4335@1|root,COG4335@2|Bacteria,2HDE9@201174|Actinobacteria",DNA alkylation repair,-,-,-,-,-,-,-,-,-,-,-,DNA_alkylation,NC_020990.1,XNR_0020,21897,23018,-,DNA alkylation repair protein,"Replication, recombination and repair",Op15
XNR_RS31485,XNR_RS31485,"COG3321@1|root,COG3321@2|Bacteria,2IED3@201174|Actinobacteria",Beta-ketoacyl synthase,-,-,-,-,-,-,-,-,-,-,-,"Acyl_transf_1,KAsynt_C_assoc,Ketoacyl-synt_C,PP-binding,ketoacyl-synt",NC_020990.1,XNR_0021,23011,29139,-,type I polyketide synthase,"Secondary metabolites biosynthesis, transport and catabolism",Op16
XNR_RS00110,XNR_RS00110,"COG1028@1|root,COG3321@1|root,COG1028@2|Bacteria,COG3321@2|Bacteria,2H477@201174|Actinobacteria",polyketide synthase,-,-,-,-,-,-,-,-,-,-,-,"ADH_N,ADH_zinc_N_2,Acyl_transf_1,KR,PP-binding,PS-DH",NC_020990.1,XNR_0022,29178,29726,-,acyl carrier protein,"Secondary metabolites biosynthesis, transport and catabolism",Op15
XNR_RS00115,XNR_RS00115,"COG3319@1|root,COG3319@2|Bacteria,2I4W9@201174|Actinobacteria",Thioesterase domain,-,-,-,-,-,-,-,-,-,-,-,"PP-binding,Thioesterase",NC_020990.1,XNR_0023,30095,30952,+,alpha/beta fold hydrolase,"Secondary metabolites biosynthesis, transport and catabolism",Op18
XNR_RS00120,XNR_RS00120,"COG1020@1|root,COG1020@2|Bacteria,2GISR@201174|Actinobacteria",Non-ribosomal peptide synthetase modules and related proteins,-,-,-,-,-,-,-,-,-,-,-,"AMP-binding,AMP-binding_C,Condensation,PP-binding",NC_020990.1,XNR_0024,30945,41711,+,non-ribosomal peptide synthetase,"Secondary metabolites biosynthesis, transport and catabolism",Op18
XNR_RS00125,XNR_RS00125,"2EVKU@1|root,33P0V@2|Bacteria,2IQJK@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_0025,41756,41998,-,DUF6411 family protein,-,Op19
XNR_RS00130,fruR,"COG1349@1|root,COG1349@2|Bacteria,2GKWM@201174|Actinobacteria",transcriptional regulator (DeoR family),-,-,ko:K03436,-,-,-,-,"ko00000,ko03000",-,-,-,"DeoRC,HTH_DeoR",NC_020990.1,XNR_0026,42345,43106,+,DeoR/GlpR family DNA-binding transcription regulator,Transcription,Op20
XNR_RS00135,fruK,"COG1105@1|root,COG1105@2|Bacteria,2GK7E@201174|Actinobacteria",Belongs to the carbohydrate kinase PfkB family,-,2.7.1.56,ko:K00882,"ko00051,map00051",-,R02071,"RC00002,RC00017","ko00000,ko00001,ko01000",-,-,-,PfkB,NC_020990.1,XNR_0027,43103,44050,+,1-phosphofructokinase,Carbohydrate transport and metabolism,Op20
XNR_RS00140,fruA,"COG1299@1|root,COG1445@1|root,COG1762@1|root,COG1299@2|Bacteria,COG1445@2|Bacteria,COG1762@2|Bacteria,2GJU4@201174|Actinobacteria",Phosphotransferase System,-,2.7.1.202,"ko:K02768,ko:K02769,ko:K02770","ko00051,ko01100,ko01120,ko02060,map00051,map01100,map01120,map02060",M00273,R03232,"RC00017,RC03206","ko00000,ko00001,ko00002,ko01000,ko02000",4.A.2.1,-,-,"PTS_EIIA_2,PTS_EIIC,PTS_IIB",NC_020990.1,XNR_0028,44163,46175,+,fructose-specific PTS transporter subunit EIIC,Carbohydrate transport and metabolism,Op21
XNR_RS00145,ptsH,"COG1925@1|root,COG1925@2|Bacteria,2GQX6@201174|Actinobacteria",phosphocarrier protein hpr,-,-,ko:K11189,-,-,-,-,"ko00000,ko02000",4.A.2.1,-,-,PTS-HPr,NC_020990.1,XNR_0029,46259,46537,+,HPr family phosphocarrier protein,Carbohydrate transport and metabolism,Op22
XNR_RS00150,ptsP,"COG1080@1|root,COG1080@2|Bacteria,2GIZZ@201174|Actinobacteria",General (non sugar-specific) component of the phosphoenolpyruvate-dependent sugar phosphotransferase system (sugar PTS). This major carbohydrate active-transport system catalyzes the phosphorylation of incoming sugar substrates concomitantly with their translocation across the cell membrane. Enzyme I transfers the phosphoryl group from phosphoenolpyruvate (PEP) to the phosphoryl carrier protein (HPr),-,2.7.3.9,ko:K08483,"ko02060,map02060",-,-,-,"ko00000,ko00001,ko01000,ko02000",8.A.7,-,-,"PEP-utilisers_N,PEP-utilizers,PEP-utilizers_C",NC_020990.1,XNR_0030,46534,48204,+,PEP-utilizing enzyme,Carbohydrate transport and metabolism,Op22
XNR_RS00155,XNR_RS00155,"COG3832@1|root,COG3832@2|Bacteria,2IKRA@201174|Actinobacteria",Polyketide cyclase / dehydrase and lipid transport,-,-,-,-,-,-,-,-,-,-,-,Polyketide_cyc2,NC_020990.1,XNR_0031,48290,48709,-,SRPBCC family protein,Function unknown,Op23
XNR_RS00160,XNR_RS00160,"COG0667@1|root,COG0667@2|Bacteria,2GKW7@201174|Actinobacteria",aldo keto reductase,-,1.1.1.122,ko:K00064,"ko00051,ko00053,ko01100,ko01110,ko01120,map00051,map00053,map01100,map01110,map01120",M00114,"R07675,R08926","RC00066,RC00161","ko00000,ko00001,ko00002,ko01000",-,-,-,Aldo_ket_red,NC_020990.1,,48744,49590,-,aldo/keto reductase,Energy production and conversion,Op23
XNR_RS00165,tnpA,"COG4644@1|root,COG4644@2|Bacteria,2GNXU@201174|Actinobacteria",Transposase,-,-,-,-,-,-,-,-,-,-,-,"DDE_Tnp_Tn3,DUF4158",NC_020990.1,XNR_0034,49912,52965,+,Tn3 family transposase,"Replication, recombination and repair",Op25
XNR_RS00170,XNR_RS00170,"2B3UM@1|root,31WIG@2|Bacteria,2GXCE@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_0035,52998,53180,-,hypothetical protein,-,Op26
XNR_RS00175,XNR_RS00175,"2AQ8J@1|root,31FED@2|Bacteria,2IDM9@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_0036,53254,54003,-,hypothetical protein,-,Op27
XNR_RS00180,XNR_RS00180,"2B6U8@1|root,31ZTK@2|Bacteria,2H2Q4@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_0037,54223,55539,-,hypothetical protein,-,Op28
XNR_RS31495,XNR_RS31495,"2BEHF@1|root,3288S@2|Bacteria,2HE0X@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_0038,55701,55835,+,hypothetical protein,-,Op29
XNR_RS00185,XNR_RS00185,"2A0SD@1|root,30NX0@2|Bacteria,2H2G3@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_0039,56156,56626,-,hypothetical protein,-,Op30
XNR_RS00190,XNR_RS00190,"COG0582@1|root,COG0582@2|Bacteria,2I8XR@201174|Actinobacteria",Belongs to the 'phage' integrase family,-,-,ko:K03733,-,-,-,-,"ko00000,ko03036",-,-,-,Phage_integrase,NC_020990.1,XNR_0040,57020,57994,-,site-specific integrase,"Replication, recombination and repair",Op31
XNR_RS00195,XNR_RS00195,"COG1409@1|root,COG1409@2|Bacteria,2GMNM@201174|Actinobacteria",Calcineurin-like phosphoesterase,-,-,-,-,-,-,-,-,-,-,-,"DUF4073,Metallophos,NPCBM,NPCBM_assoc",NC_020990.1,XNR_0041,58185,59027,+,DUF4073 domain-containing protein,Carbohydrate transport and metabolism,Op32
XNR_RS00200,XNR_RS00200,"2B3HZ@1|root,31W70@2|Bacteria,2GWSZ@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_0042,59126,59407,+,hypothetical protein,-,Op33
XNR_RS00205,XNR_RS00205,"COG0782@1|root,COG0782@2|Bacteria,2IFIF@201174|Actinobacteria","transcription elongation factor, GreA GreB",-,-,-,-,-,-,-,-,-,-,-,"GreA_GreB,GreA_GreB_N",NC_020990.1,XNR_0043,59433,59915,-,GreA/GreB family elongation factor,Transcription,Op34
XNR_RS00210,XNR_RS00210,"COG1511@1|root,COG1511@2|Bacteria",domain protein,-,-,-,-,-,-,-,-,-,-,-,"ABC2_membrane_3,DUF3533",NC_020990.1,XNR_0044,59982,61265,-,DUF3533 domain-containing protein,"Secondary metabolites biosynthesis, transport and catabolism",Op35
XNR_RS00215,XNR_RS00215,"2C0UA@1|root,341RE@2|Bacteria,2IKXT@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_0045,61317,61970,-,hypothetical protein,-,Op36
XNR_RS00220,rpmF,"2DRA3@1|root,33AVR@2|Bacteria,2GQK2@201174|Actinobacteria",Belongs to the bacterial ribosomal protein bL32 family,-,-,ko:K02911,"ko03010,map03010",M00178,-,-,"br01610,ko00000,ko00001,ko00002,ko03011,ko03029",-,-,-,Ribosomal_L32p,NC_020990.1,XNR_0047,62167,62337,+,50S ribosomal protein L32,"Translation, ribosomal structure and biogenesis",Op37
XNR_RS00225,XNR_RS00225,"COG2890@1|root,COG2890@2|Bacteria,2I2WD@201174|Actinobacteria",Methyltransferase type 12,-,-,-,-,-,-,-,-,-,-,-,Methyltransf_25,NC_020990.1,XNR_0048,62393,63274,-,class I SAM-dependent methyltransferase,"Translation, ribosomal structure and biogenesis",Op38
XNR_RS00230,XNR_RS00230,"COG1396@1|root,COG1396@2|Bacteria,2GNTQ@201174|Actinobacteria",transcriptional,-,-,-,-,-,-,-,-,-,-,-,"Cupin_2,HTH_3,HTH_31",NC_020990.1,XNR_0049,63382,63984,-,XRE family transcriptional regulator,Transcription,Op39
XNR_RS00235,XNR_RS00235,"COG1695@1|root,COG1695@2|Bacteria,2IQ70@201174|Actinobacteria",Transcriptional regulator padr family,-,-,-,-,-,-,-,-,-,-,-,PadR,NC_020990.1,XNR_0050,64083,64424,+,helix-turn-helix transcriptional regulator,Transcription,Op40
XNR_RS00240,XNR_RS00240,"2AN8U@1|root,31D6W@2|Bacteria,2IAAB@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_0051,64421,65383,+,hypothetical protein,-,Op40
XNR_RS00245,XNR_RS00245,"COG0671@1|root,COG0671@2|Bacteria",phosphatidate phosphatase activity,-,3.6.1.27,ko:K19302,"ko00550,map00550",-,R05627,RC00002,"ko00000,ko00001,ko01000,ko01011",-,-,-,PAP2,NC_020990.1,XNR_0052,65396,66271,+,phosphatase PAP2 family protein,Lipid transport and metabolism,Op40
XNR_RS00250,XNR_RS00250,"COG0477@1|root,COG0477@2|Bacteria,2GIYR@201174|Actinobacteria",Major facilitator superfamily,-,-,-,-,-,-,-,-,-,-,-,Sugar_tr,NC_020990.1,XNR_0053,66443,67870,+,MFS transporter,Amino acid transport and metabolism,Op41
XNR_RS00255,XNR_RS00255,"COG2203@1|root,COG2508@1|root,COG2203@2|Bacteria,COG2508@2|Bacteria,2GM1G@201174|Actinobacteria",transcriptional regulator,-,-,-,-,-,-,-,-,-,-,-,"GAF_2,HTH_30",NC_020990.1,XNR_0054,68061,69992,-,GAF domain-containing protein,"Secondary metabolites biosynthesis, transport and catabolism",Op42
XNR_RS00260,bdhA,"COG1028@1|root,COG1028@2|Bacteria,2GJIH@201174|Actinobacteria",Dehydrogenase,-,1.1.1.30,ko:K00019,"ko00072,ko00650,ko01100,map00072,map00650,map01100",M00088,R01361,RC00117,"ko00000,ko00001,ko00002,ko01000",-,-,-,adh_short_C2,NC_020990.1,XNR_0055,70480,71280,-,3-hydroxybutyrate dehydrogenase,Lipid transport and metabolism,Op43
XNR_RS00265,XNR_RS00265,"COG1051@1|root,COG1051@2|Bacteria,2IKKB@201174|Actinobacteria",Nudix hydrolase,-,-,-,-,-,-,-,-,-,-,-,NUDIX,NC_020990.1,XNR_0056,71388,71927,-,NUDIX domain-containing protein,Nucleotide transport and metabolism,Op44
XNR_RS00270,lnt,"COG0815@1|root,COG0815@2|Bacteria,2GJ9F@201174|Actinobacteria",Transfers the fatty acyl group on membrane lipoproteins,"GO:0000030,GO:0003674,GO:0003824,GO:0004582,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006629,GO:0006643,GO:0006664,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009247,GO:0009605,GO:0009607,GO:0009987,GO:0016020,GO:0016740,GO:0016757,GO:0016758,GO:0030312,GO:0035821,GO:0043207,GO:0044003,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044403,GO:0044419,GO:0044424,GO:0044444,GO:0044464,GO:0046467,GO:0050896,GO:0051701,GO:0051704,GO:0051707,GO:0051817,GO:0052031,GO:0052173,GO:0052200,GO:0052255,GO:0052552,GO:0052553,GO:0052564,GO:0052572,GO:0070085,GO:0071704,GO:0071944,GO:0075136,GO:0097502,GO:1901135,GO:1901137,GO:1901576,GO:1903509",-,ko:K03820,-,-,-,-,"ko00000,ko01000",-,GT2,iNJ661.Rv2051c,CN_hydrolase,NC_020990.1,XNR_0057,72005,73624,-,apolipoprotein N-acyltransferase,Cell wall/membrane/envelope biogenesis,Op45
XNR_RS00275,deaD2,"COG0513@1|root,COG0513@2|Bacteria,2GIUR@201174|Actinobacteria",Belongs to the DEAD box helicase family,-,-,-,-,-,-,-,-,-,-,-,"DEAD,Helicase_C",NC_020990.1,XNR_0058,73684,75120,-,DEAD/DEAH box helicase,"Replication, recombination and repair",Op46
XNR_RS00280,XNR_RS00280,"2F2DM@1|root,33VBA@2|Bacteria,2HHW0@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_0059,75188,75772,-,hypothetical protein,-,Op47
XNR_RS00285,murI,"COG0796@1|root,COG0796@2|Bacteria,2GN4I@201174|Actinobacteria",Provides the (R)-glutamate required for cell wall biosynthesis,-,5.1.1.3,ko:K01776,"ko00471,ko01100,map00471,map01100",-,R00260,RC00302,"ko00000,ko00001,ko01000,ko01011",-,-,-,Asp_Glu_race,NC_020990.1,XNR_0060,75845,76630,-,aspartate/glutamate racemase family protein,Cell wall/membrane/envelope biogenesis,Op48
XNR_RS00290,XNR_RS00290,"COG2310@1|root,COG4110@1|root,COG2310@2|Bacteria,COG4110@2|Bacteria,2GK6H@201174|Actinobacteria",Stress protein,-,-,ko:K05792,-,-,-,-,ko00000,-,-,-,TerD,NC_020990.1,XNR_0061,76723,77913,-,TerD family protein,Signal transduction mechanisms,Op49
XNR_RS00295,XNR_RS00295,"2FAAW@1|root,342JH@2|Bacteria,2II7Y@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_0062,78247,78768,+,hypothetical protein,-,Op50
XNR_RS00300,XNR_RS00300,"COG3217@1|root,COG3217@2|Bacteria,2GPWY@201174|Actinobacteria",MOSC domain protein beta barrel domain protein,-,-,ko:K07140,-,-,-,-,ko00000,-,-,-,"MOSC,MOSC_N",NC_020990.1,XNR_0063,78844,79713,+,MOSC domain-containing protein,Function unknown,Op51
XNR_RS00305,XNR_RS00305,"2F8CX@1|root,340RU@2|Bacteria,2GTM6@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_0064,79800,80405,+,hypothetical protein,-,Op52
XNR_RS00310,spoVK,"COG0464@1|root,COG0464@2|Bacteria,2GJWA@201174|Actinobacteria",AAA ATPase central domain protein,-,-,-,-,-,-,-,-,-,-,-,"AAA,Beta_helix",NC_020990.1,XNR_0066,80532,82961,+,right-handed parallel beta-helix repeat-containing protein,"Posttranslational modification, protein turnover, chaperones",Op53
XNR_RS00315,XNR_RS00315,"COG0657@1|root,COG0657@2|Bacteria,2I3E3@201174|Actinobacteria",acetylesterase activity,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_0067,82931,85369,-,hypothetical protein,Lipid transport and metabolism,Op54
XNR_RS00320,XNR_RS00320,"COG1349@1|root,COG1349@2|Bacteria,2H5X4@201174|Actinobacteria","transcriptional regulator, DeoR family",-,-,-,-,-,-,-,-,-,-,-,"DeoRC,HTH_DeoR",NC_020990.1,XNR_0069,85637,86443,+,DeoR/GlpR family DNA-binding transcription regulator,Transcription,Op55
XNR_RS00325,XNR_RS00325,"COG0031@1|root,COG0031@2|Bacteria,2GNE4@201174|Actinobacteria",cysteine synthase,-,2.5.1.47,ko:K01738,"ko00270,ko00920,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00270,map00920,map01100,map01110,map01120,map01130,map01200,map01230",M00021,"R00897,R03601,R04859","RC00020,RC02814,RC02821","ko00000,ko00001,ko00002,ko01000",-,-,-,PALP,NC_020990.1,XNR_0070,86455,87552,-,PLP-dependent cysteine synthase family protein,Amino acid transport and metabolism,Op56
XNR_RS00330,XNR_RS00330,"2FG3J@1|root,34804@2|Bacteria,2II3W@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_0071,87916,88236,+,hypothetical protein,-,Op57
XNR_RS00335,XNR_RS00335,"COG2172@1|root,COG2172@2|Bacteria,2II01@201174|Actinobacteria",Histidine kinase-like ATPase domain,-,-,-,-,-,-,-,-,-,-,-,HATPase_c_2,NC_020990.1,XNR_0072,88483,89019,+,ATP-binding protein,Signal transduction mechanisms,Op58
XNR_RS00340,XNR_RS00340,"COG1940@1|root,COG1940@2|Bacteria,2GPEI@201174|Actinobacteria",ROK family,-,-,-,-,-,-,-,-,-,-,-,ROK,NC_020990.1,XNR_0073,89108,90346,-,ROK family protein,Carbohydrate transport and metabolism,Op59
XNR_RS00345,alkB,"COG3145@1|root,COG3145@2|Bacteria,2GMSV@201174|Actinobacteria",DNA repair protein,-,1.14.11.33,ko:K03919,-,-,-,-,"ko00000,ko01000,ko03400",-,-,-,2OG-FeII_Oxy_2,NC_020990.1,XNR_0074,90398,91057,-,alpha-ketoglutarate-dependent dioxygenase AlkB,"Replication, recombination and repair",Op60
XNR_RS00350,XNR_RS00350,"COG0477@1|root,COG0477@2|Bacteria,2I30W@201174|Actinobacteria",Major facilitator Superfamily,-,-,-,-,-,-,-,-,-,-,-,MFS_1,NC_020990.1,XNR_0075,91189,92406,+,MFS transporter,Amino acid transport and metabolism,Op61
XNR_RS00355,XNR_RS00355,"2E0DR@1|root,32W0E@2|Bacteria,2IFJC@201174|Actinobacteria",-,-,-,-,-,-,-,-,-,-,-,-,-,NC_020990.1,XNR_0076,92769,93416,-,hypothetical protein,-,Op62
XNR_RS00360,XNR_RS00360,"COG4585@1|root,COG4585@2|Bacteria,2GR10@201174|Actinobacteria",Histidine kinase,-,-,-,-,-,-,-,-,-,-,-,HisKA_3,NC_020990.1,XNR_0077,93731,94732,+,histidine kinase,Signal transduction mechanisms,Op63
XNR_RS00365,XNR_RS00365,"COG2197@1|root,COG2197@2|Bacteria,2GMUG@201174|Actinobacteria","Two component transcriptional regulator, LuxR family",-,-,-,-,-,-,-,-,-,-,-,"GerE,Response_reg",NC_020990.1,XNR_0078,94729,95406,+,response regulator transcription factor,Signal transduction mechanisms,Op63
XNR_RS00370,fixC,"COG0644@1|root,COG0644@2|Bacteria,2GMH9@201174|Actinobacteria",geranylgeranyl reductase,-,-,-,-,-,-,-,-,-,-,-,"DAO,FAD_binding_2,FAD_binding_3,FAD_oxidored,HI0933_like",NC_020990.1,XNR_0079,95798,97021,-,geranylgeranyl reductase family protein,Energy production and conversion,Op64
XNR_RS00375,tpdA,"COG0624@1|root,COG0624@2|Bacteria,2GM84@201174|Actinobacteria",peptidase,-,-,-,-,-,-,-,-,-,-,-,"M20_dimer,Peptidase_M20,Peptidase_M28",NC_020990.1,XNR_0080,97182,98549,+,dipeptidase,Amino acid transport and metabolism,Op65
XNR_RS00380,XNR_RS00380,"COG1171@1|root,COG1171@2|Bacteria,2HYFX@201174|Actinobacteria",Threonine dehydratase,-,4.3.1.19,ko:K01754,"ko00260,ko00290,ko01100,ko01110,ko01130,ko01200,ko01230,map00260,map00290,map01100,map01110,map01130,map01200,map01230",M00570,"R00220,R00996","RC00418,RC02600","ko00000,ko00001,ko00002,ko01000",-,-,-,PALP,NC_020990.1,XNR_0081,98597,99577,-,pyridoxal-phosphate dependent enzyme,Amino acid transport and metabolism,Op66
XNR_RS00385,XNR_RS00385,"COG0645@1|root,COG1051@1|root,COG0645@2|Bacteria,COG1051@2|Bacteria,2H23W@201174|Actinobacteria",belongs to the nudix hydrolase family,-,-,-,-,-,-,-,-,-,-,-,"AAA_33,NUDIX",NC_020990.1,XNR_0082,99588,100610,-,NUDIX hydrolase,Energy production and conversion,Op66
XNR_RS00390,XNR_RS00390,"COG1940@1|root,COG1940@2|Bacteria,2GJCQ@201174|Actinobacteria",ROK family,-,2.7.1.2,ko:K00845,"ko00010,ko00052,ko00500,ko00520,ko00521,ko00524,ko01100,ko01110,ko01120,ko01130,ko01200,map00010,map00052,map00500,map00520,map00521,map00524,map01100,map01110,map01120,map01130,map01200","M00001,M00549","R00299,R01600,R01786","RC00002,RC00017","ko00000,ko00001,ko00002,ko01000",-,-,-,ROK,NC_020990.1,XNR_0083,100813,101784,-,ROK family protein,Carbohydrate transport and metabolism,Op67
