,locus_tag,GOs
269,XNR_RS00560,transmembrane transport
270,XNR_RS00560,monoatomic cation transmembrane transport
271,XNR_RS00560,inorganic ion transmembrane transport
272,XNR_RS00560,inorganic cation transmembrane transport
273,XNR_RS00560,monoatomic ion transmembrane transport
274,XNR_RS00560,monoatomic cation transmembrane transport
279,XNR_RS00585,molecular_function
280,XNR_RS00585,catalytic activity
281,XNR_RS00585,cellular_component
282,XNR_RS00585,intracellular anatomical structure
283,XNR_RS00585,obsolete cell
284,XNR_RS00585,cytoplasm
285,XNR_RS00585,cytosol
286,XNR_RS00585,nucleobase-containing compound metabolic process
287,XNR_RS00585,purine nucleotide metabolic process
288,XNR_RS00585,cellular aromatic compound metabolic process
289,XNR_RS00585,obsolete coenzyme metabolic process
290,XNR_RS00585,nucleoside phosphate metabolic process
291,XNR_RS00585,Mo-molybdopterin cofactor biosynthetic process
292,XNR_RS00585,phosphorus metabolic process
293,XNR_RS00585,phosphate-containing compound metabolic process
294,XNR_RS00585,nitrogen compound metabolic process
295,XNR_RS00585,biological_process
296,XNR_RS00585,metabolic process
297,XNR_RS00585,biosynthetic process
298,XNR_RS00585,obsolete coenzyme biosynthetic process
299,XNR_RS00585,nucleoside metabolic process
300,XNR_RS00585,nucleotide metabolic process
301,XNR_RS00585,ribonucleoside metabolic process
302,XNR_RS00585,nucleoside triphosphate metabolic process
303,XNR_RS00585,purine nucleoside triphosphate metabolic process
304,XNR_RS00585,purine ribonucleotide metabolic process
305,XNR_RS00585,ribonucleoside triphosphate metabolic process
306,XNR_RS00585,purine ribonucleoside triphosphate metabolic process
307,XNR_RS00585,ribonucleotide metabolic process
308,XNR_RS00585,cellular process
309,XNR_RS00585,transferase activity
310,XNR_RS00585,"transferase activity, transferring sulphur-containing groups"
311,XNR_RS00585,sulfurtransferase activity
312,XNR_RS00585,heterocycle biosynthetic process
313,XNR_RS00585,protein metabolic process
314,XNR_RS00585,organophosphate metabolic process
315,XNR_RS00585,ribose phosphate metabolic process
316,XNR_RS00585,Mo-molybdopterin cofactor metabolic process
317,XNR_RS00585,molybdopterin synthase activity
318,XNR_RS00585,molybdopterin cofactor biosynthetic process
319,XNR_RS00585,cellular nitrogen compound metabolic process
320,XNR_RS00585,purine nucleoside metabolic process
321,XNR_RS00585,macromolecule metabolic process
322,XNR_RS00585,molybdopterin cofactor metabolic process
323,XNR_RS00585,cellular metabolic process
324,XNR_RS00585,primary metabolic process
325,XNR_RS00585,cellular biosynthetic process
326,XNR_RS00585,obsolete cellular macromolecule metabolic process
327,XNR_RS00585,protein metabolic process
328,XNR_RS00585,small molecule metabolic process
329,XNR_RS00585,obsolete intracellular part
330,XNR_RS00585,obsolete cytoplasmic part
331,XNR_RS00585,obsolete cell part
332,XNR_RS00585,GTP metabolic process
333,XNR_RS00585,purine ribonucleoside metabolic process
334,XNR_RS00585,heterocycle metabolic process
335,XNR_RS00585,obsolete cofactor metabolic process
336,XNR_RS00585,obsolete cofactor biosynthetic process
337,XNR_RS00585,prosthetic group metabolic process
338,XNR_RS00585,nucleobase-containing small molecule metabolic process
339,XNR_RS00585,organic substance metabolic process
340,XNR_RS00585,purine-containing compound metabolic process
341,XNR_RS00585,organophosphate biosynthetic process
342,XNR_RS00585,guanosine-containing compound metabolic process
343,XNR_RS00585,carbohydrate derivative metabolic process
344,XNR_RS00585,organic cyclic compound metabolic process
345,XNR_RS00585,organic cyclic compound biosynthetic process
346,XNR_RS00585,organonitrogen compound metabolic process
347,XNR_RS00585,organonitrogen compound biosynthetic process
348,XNR_RS00585,organic substance biosynthetic process
349,XNR_RS00585,glycosyl compound metabolic process
373,XNR_RS00705,response to hypoxia
374,XNR_RS00705,organic acid metabolic process
375,XNR_RS00705,regulation of DNA-templated transcription
376,XNR_RS00705,lipid metabolic process
377,XNR_RS00705,fatty acid metabolic process
378,XNR_RS00705,response to stress
379,XNR_RS00705,biological_process
380,XNR_RS00705,metabolic process
381,XNR_RS00705,response to external stimulus
382,XNR_RS00705,response to biotic stimulus
383,XNR_RS00705,response to abiotic stimulus
384,XNR_RS00705,regulation of biosynthetic process
385,XNR_RS00705,cellular process
386,XNR_RS00705,regulation of gene expression
387,XNR_RS00705,regulation of macromolecule biosynthetic process
388,XNR_RS00705,antibiotic metabolic process
389,XNR_RS00705,xenobiotic metabolic process
390,XNR_RS00705,regulation of nucleobase-containing compound metabolic process
391,XNR_RS00705,regulation of metabolic process
392,XNR_RS00705,propionate metabolic process
393,XNR_RS00705,"propionate metabolic process, methylcitrate cycle"
394,XNR_RS00705,carboxylic acid metabolic process
395,XNR_RS00705,regulation of cellular metabolic process
396,XNR_RS00705,regulation of cellular biosynthetic process
397,XNR_RS00705,monocarboxylic acid metabolic process
398,XNR_RS00705,response to decreased oxygen levels
399,XNR_RS00705,response to external biotic stimulus
400,XNR_RS00705,oxoacid metabolic process
401,XNR_RS00705,cellular metabolic process
402,XNR_RS00705,primary metabolic process
403,XNR_RS00705,cellular lipid metabolic process
404,XNR_RS00705,small molecule metabolic process
405,XNR_RS00705,biological process involved in symbiotic interaction
406,XNR_RS00705,biological process involved in interspecies interaction between organisms
407,XNR_RS00705,short-chain fatty acid metabolic process
408,XNR_RS00705,regulation of biological process
409,XNR_RS00705,regulation of cellular process
410,XNR_RS00705,response to stimulus
411,XNR_RS00705,regulation of nitrogen compound metabolic process
412,XNR_RS00705,regulation of RNA metabolic process
413,XNR_RS00705,biological process involved in interaction with host
414,XNR_RS00705,obsolete multi-organism process
415,XNR_RS00705,response to other organism
416,XNR_RS00705,response to defenses of other organism
417,XNR_RS00705,response to host defenses
418,XNR_RS00705,response to host immune response
419,XNR_RS00705,response to host immune response
420,XNR_RS00705,regulation of macromolecule metabolic process
421,XNR_RS00705,biological regulation
422,XNR_RS00705,response to oxygen levels
423,XNR_RS00705,organic substance metabolic process
424,XNR_RS00705,response to host
425,XNR_RS00705,regulation of primary metabolic process
426,XNR_RS00705,obsolete regulation of nucleic acid-templated transcription
427,XNR_RS00705,obsolete regulation of cellular macromolecule biosynthetic process
428,XNR_RS00705,regulation of RNA biosynthetic process
429,XNR_RS00710,molecular_function
430,XNR_RS00710,catalytic activity
431,XNR_RS00710,cellular_component
432,XNR_RS00710,cell wall
433,XNR_RS00710,intracellular anatomical structure
434,XNR_RS00710,obsolete cell
435,XNR_RS00710,cytoplasm
436,XNR_RS00710,cytosol
437,XNR_RS00710,organic acid metabolic process
438,XNR_RS00710,lipid metabolic process
439,XNR_RS00710,fatty acid metabolic process
440,XNR_RS00710,biological_process
441,XNR_RS00710,metabolic process
442,XNR_RS00710,catabolic process
443,XNR_RS00710,fatty acid catabolic process
444,XNR_RS00710,response to pH
445,XNR_RS00710,response to abiotic stimulus
446,XNR_RS00710,cellular process
447,XNR_RS00710,response to acidic pH
448,XNR_RS00710,lipid catabolic process
449,XNR_RS00710,organic acid catabolic process
450,XNR_RS00710,lyase activity
451,XNR_RS00710,carbon-oxygen lyase activity
452,XNR_RS00710,hydro-lyase activity
453,XNR_RS00710,antibiotic metabolic process
454,XNR_RS00710,antibiotic catabolic process
455,XNR_RS00710,xenobiotic metabolic process
456,XNR_RS00710,propionate metabolic process
457,XNR_RS00710,propionate catabolic process
458,XNR_RS00710,short-chain fatty acid catabolic process
459,XNR_RS00710,"propionate catabolic process, 2-methylcitrate cycle"
460,XNR_RS00710,"propionate metabolic process, methylcitrate cycle"
461,XNR_RS00710,carboxylic acid metabolic process
462,XNR_RS00710,external encapsulating structure
463,XNR_RS00710,monocarboxylic acid metabolic process
464,XNR_RS00710,xenobiotic catabolic process
465,XNR_RS00710,oxoacid metabolic process
466,XNR_RS00710,cellular metabolic process
467,XNR_RS00710,primary metabolic process
468,XNR_RS00710,cellular lipid catabolic process
469,XNR_RS00710,cellular catabolic process
470,XNR_RS00710,cellular lipid metabolic process
471,XNR_RS00710,small molecule metabolic process
472,XNR_RS00710,small molecule catabolic process
473,XNR_RS00710,obsolete intracellular part
474,XNR_RS00710,obsolete cytoplasmic part
475,XNR_RS00710,obsolete cell part
476,XNR_RS00710,carboxylic acid catabolic process
477,XNR_RS00710,short-chain fatty acid metabolic process
478,XNR_RS00710,2-methylcitrate dehydratase activity
479,XNR_RS00710,response to stimulus
480,XNR_RS00710,organic substance metabolic process
481,XNR_RS00710,cell periphery
482,XNR_RS00710,monocarboxylic acid catabolic process
483,XNR_RS00710,organic substance catabolic process
486,XNR_RS00725,molecular_function
487,XNR_RS00725,catalytic activity
488,XNR_RS00725,enoyl-CoA hydratase activity
489,XNR_RS00725,cellular_component
490,XNR_RS00725,cell wall
491,XNR_RS00725,obsolete cell
492,XNR_RS00725,plasma membrane
493,XNR_RS00725,organic acid metabolic process
494,XNR_RS00725,lipid metabolic process
495,XNR_RS00725,fatty acid metabolic process
496,XNR_RS00725,fatty acid beta-oxidation
497,XNR_RS00725,biological_process
498,XNR_RS00725,metabolic process
499,XNR_RS00725,catabolic process
500,XNR_RS00725,fatty acid catabolic process
501,XNR_RS00725,cellular process
502,XNR_RS00725,membrane
503,XNR_RS00725,lipid catabolic process
504,XNR_RS00725,organic acid catabolic process
505,XNR_RS00725,lyase activity
506,XNR_RS00725,carbon-oxygen lyase activity
507,XNR_RS00725,hydro-lyase activity
508,XNR_RS00725,fatty acid oxidation
509,XNR_RS00725,carboxylic acid metabolic process
510,XNR_RS00725,lipid modification
511,XNR_RS00725,external encapsulating structure
512,XNR_RS00725,monocarboxylic acid metabolic process
513,XNR_RS00725,lipid oxidation
514,XNR_RS00725,oxoacid metabolic process
515,XNR_RS00725,cellular metabolic process
516,XNR_RS00725,primary metabolic process
517,XNR_RS00725,cellular lipid catabolic process
518,XNR_RS00725,cellular catabolic process
519,XNR_RS00725,cellular lipid metabolic process
520,XNR_RS00725,small molecule metabolic process
521,XNR_RS00725,small molecule catabolic process
522,XNR_RS00725,obsolete cell part
523,XNR_RS00725,carboxylic acid catabolic process
524,XNR_RS00725,obsolete oxidation-reduction process
525,XNR_RS00725,organic substance metabolic process
526,XNR_RS00725,cell periphery
527,XNR_RS00725,monocarboxylic acid catabolic process
528,XNR_RS00725,organic substance catabolic process
532,XNR_RS00745,nucleotide binding
533,XNR_RS00745,molecular_function
534,XNR_RS00745,catalytic activity
535,XNR_RS00745,aldehyde dehydrogenase (NAD+) activity
536,XNR_RS00745,aldehyde dehydrogenase [NAD(P)+] activity
537,XNR_RS00745,binding
538,XNR_RS00745,cellular_component
539,XNR_RS00745,intracellular anatomical structure
540,XNR_RS00745,obsolete cell
541,XNR_RS00745,cytoplasm
542,XNR_RS00745,mitochondrion
543,XNR_RS00745,mitochondrial matrix
544,XNR_RS00745,carbohydrate metabolic process
545,XNR_RS00745,alcohol metabolic process
546,XNR_RS00745,ethanol metabolic process
547,XNR_RS00745,ethanol oxidation
548,XNR_RS00745,generation of precursor metabolites and energy
549,XNR_RS00745,biological_process
550,XNR_RS00745,metabolic process
551,XNR_RS00745,electron transfer activity
552,XNR_RS00745,cellular process
553,XNR_RS00745,oxidoreductase activity
554,XNR_RS00745,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"
555,XNR_RS00745,"oxidoreductase activity, acting on the aldehyde or oxo group of donors"
556,XNR_RS00745,antibiotic metabolic process
557,XNR_RS00745,xenobiotic metabolic process
558,XNR_RS00745,electron transport chain
559,XNR_RS00745,membrane-enclosed lumen
560,XNR_RS00745,primary alcohol metabolic process
561,XNR_RS00745,small molecule binding
562,XNR_RS00745,organelle
563,XNR_RS00745,membrane-bounded organelle
564,XNR_RS00745,intracellular organelle
565,XNR_RS00745,intracellular membrane-bounded organelle
566,XNR_RS00745,organelle lumen
567,XNR_RS00745,cellular metabolic process
568,XNR_RS00745,primary metabolic process
569,XNR_RS00745,small molecule metabolic process
570,XNR_RS00745,obsolete organelle part
571,XNR_RS00745,obsolete intracellular part
572,XNR_RS00745,obsolete mitochondrial part
573,XNR_RS00745,obsolete cytoplasmic part
574,XNR_RS00745,obsolete intracellular organelle part
575,XNR_RS00745,obsolete cell part
576,XNR_RS00745,obsolete cofactor binding
577,XNR_RS00745,obsolete coenzyme binding
578,XNR_RS00745,NAD binding
579,XNR_RS00745,obsolete oxidation-reduction process
580,XNR_RS00745,intracellular organelle lumen
581,XNR_RS00745,organic substance metabolic process
582,XNR_RS00745,organic cyclic compound binding
583,XNR_RS00745,nucleoside phosphate binding
584,XNR_RS00745,heterocyclic compound binding
585,XNR_RS00745,organic hydroxy compound metabolic process
595,XNR_RS00795,cellular_component
596,XNR_RS00795,cell wall
597,XNR_RS00795,obsolete cell
598,XNR_RS00795,external encapsulating structure
599,XNR_RS00795,obsolete cell part
600,XNR_RS00795,cell periphery
630,XNR_RS00950,molecular_function
631,XNR_RS00950,catalytic activity
632,XNR_RS00950,cellular_component
633,XNR_RS00950,intracellular anatomical structure
634,XNR_RS00950,obsolete cell
635,XNR_RS00950,cytoplasm
636,XNR_RS00950,carbohydrate metabolic process
637,XNR_RS00950,monosaccharide metabolic process
638,XNR_RS00950,biological_process
639,XNR_RS00950,metabolic process
640,XNR_RS00950,xylose isomerase activity
641,XNR_RS00950,catabolic process
642,XNR_RS00950,carbohydrate catabolic process
643,XNR_RS00950,isomerase activity
644,XNR_RS00950,intramolecular oxidoreductase activity
645,XNR_RS00950,"intramolecular oxidoreductase activity, interconverting aldoses and ketoses"
646,XNR_RS00950,pentose metabolic process
647,XNR_RS00950,pentose catabolic process
648,XNR_RS00950,D-xylose metabolic process
649,XNR_RS00950,D-xylose catabolic process
650,XNR_RS00950,primary metabolic process
651,XNR_RS00950,small molecule metabolic process
652,XNR_RS00950,small molecule catabolic process
653,XNR_RS00950,obsolete intracellular part
654,XNR_RS00950,obsolete cell part
655,XNR_RS00950,monosaccharide catabolic process
656,XNR_RS00950,organic substance metabolic process
657,XNR_RS00950,organic substance catabolic process
675,XNR_RS01045,molecular_function
676,XNR_RS01045,transporter activity
677,XNR_RS01045,cellular_component
678,XNR_RS01045,obsolete cell
679,XNR_RS01045,plasma membrane
680,XNR_RS01045,plasma membrane
681,XNR_RS01045,transport
682,XNR_RS01045,biological_process
683,XNR_RS01045,membrane
684,XNR_RS01045,membrane
685,XNR_RS01045,transmembrane transporter activity
686,XNR_RS01045,obsolete intrinsic component of membrane
687,XNR_RS01045,obsolete intrinsic component of plasma membrane
688,XNR_RS01045,obsolete membrane part
689,XNR_RS01045,obsolete plasma membrane part
690,XNR_RS01045,obsolete cell part
691,XNR_RS01045,localization
692,XNR_RS01045,establishment of localization
693,XNR_RS01045,transmembrane transport
694,XNR_RS01045,cell periphery
747,XNR_RS01325,molecular_function
748,XNR_RS01325,catalytic activity
749,XNR_RS01325,geranyltranstransferase activity
750,XNR_RS01325,prenyltransferase activity
751,XNR_RS01325,lipid metabolic process
752,XNR_RS01325,isoprenoid metabolic process
753,XNR_RS01325,terpenoid metabolic process
754,XNR_RS01325,biological_process
755,XNR_RS01325,metabolic process
756,XNR_RS01325,isoprenoid biosynthetic process
757,XNR_RS01325,lipid biosynthetic process
758,XNR_RS01325,biosynthetic process
759,XNR_RS01325,cellular process
760,XNR_RS01325,tetraterpenoid metabolic process
761,XNR_RS01325,tetraterpenoid biosynthetic process
762,XNR_RS01325,terpenoid biosynthetic process
763,XNR_RS01325,carotenoid metabolic process
764,XNR_RS01325,carotenoid biosynthetic process
765,XNR_RS01325,transferase activity
766,XNR_RS01325,"transferase activity, transferring alkyl or aryl (other than methyl) groups"
767,XNR_RS01325,geranylgeranyl-diphosphate geranylgeranyltransferase activity
768,XNR_RS01325,pigment metabolic process
769,XNR_RS01325,cellular metabolic process
770,XNR_RS01325,primary metabolic process
771,XNR_RS01325,cellular biosynthetic process
772,XNR_RS01325,cellular lipid metabolic process
773,XNR_RS01325,pigment biosynthetic process
774,XNR_RS01325,organic substance metabolic process
775,XNR_RS01325,organic substance biosynthetic process
785,XNR_RS01375,molecular_function
786,XNR_RS01375,catalytic activity
787,XNR_RS01375,isopentenyl-diphosphate delta-isomerase activity
788,XNR_RS01375,cellular_component
789,XNR_RS01375,intracellular anatomical structure
790,XNR_RS01375,obsolete cell
791,XNR_RS01375,cytoplasm
792,XNR_RS01375,lipid metabolic process
793,XNR_RS01375,phospholipid metabolic process
794,XNR_RS01375,isoprenoid metabolic process
795,XNR_RS01375,phosphorus metabolic process
796,XNR_RS01375,phosphate-containing compound metabolic process
797,XNR_RS01375,biological_process
798,XNR_RS01375,metabolic process
799,XNR_RS01375,isoprenoid biosynthetic process
800,XNR_RS01375,lipid biosynthetic process
801,XNR_RS01375,phospholipid biosynthetic process
802,XNR_RS01375,biosynthetic process
803,XNR_RS01375,isopentenyl diphosphate biosynthetic process
804,XNR_RS01375,cellular process
805,XNR_RS01375,isomerase activity
806,XNR_RS01375,intramolecular oxidoreductase activity
807,XNR_RS01375,"intramolecular oxidoreductase activity, transposing C=C bonds"
808,XNR_RS01375,organophosphate metabolic process
809,XNR_RS01375,cellular metabolic process
810,XNR_RS01375,primary metabolic process
811,XNR_RS01375,cellular biosynthetic process
812,XNR_RS01375,cellular lipid metabolic process
813,XNR_RS01375,obsolete intracellular part
814,XNR_RS01375,obsolete cell part
815,XNR_RS01375,isopentenyl diphosphate metabolic process
816,XNR_RS01375,organic substance metabolic process
817,XNR_RS01375,organophosphate biosynthetic process
818,XNR_RS01375,organic substance biosynthetic process
843,XNR_RS01500,molecular_function
844,XNR_RS01500,catalytic activity
845,XNR_RS01500,cellular_component
846,XNR_RS01500,obsolete cell
847,XNR_RS01500,plasma membrane
848,XNR_RS01500,organic acid metabolic process
849,XNR_RS01500,generation of precursor metabolites and energy
850,XNR_RS01500,tricarboxylic acid cycle
851,XNR_RS01500,citrate metabolic process
852,XNR_RS01500,biological_process
853,XNR_RS01500,metabolic process
854,XNR_RS01500,succinate-semialdehyde dehydrogenase [NAD(P)+] activity
855,XNR_RS01500,aerobic respiration
856,XNR_RS01500,cellular process
857,XNR_RS01500,energy derivation by oxidation of organic compounds
858,XNR_RS01500,membrane
859,XNR_RS01500,oxidoreductase activity
860,XNR_RS01500,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"
861,XNR_RS01500,"oxidoreductase activity, acting on the aldehyde or oxo group of donors"
862,XNR_RS01500,antibiotic metabolic process
863,XNR_RS01500,xenobiotic metabolic process
864,XNR_RS01500,carboxylic acid metabolic process
865,XNR_RS01500,oxoacid metabolic process
866,XNR_RS01500,cellular metabolic process
867,XNR_RS01500,primary metabolic process
868,XNR_RS01500,small molecule metabolic process
869,XNR_RS01500,obsolete cell part
870,XNR_RS01500,cellular respiration
871,XNR_RS01500,obsolete oxidation-reduction process
872,XNR_RS01500,organic substance metabolic process
873,XNR_RS01500,cell periphery
874,XNR_RS01500,tricarboxylic acid metabolic process
896,XNR_RS01610,molecular_function
897,XNR_RS01610,catalytic activity
898,XNR_RS01610,transporter activity
899,XNR_RS01610,cellular_component
900,XNR_RS01610,transport
901,XNR_RS01610,monoatomic ion transport
902,XNR_RS01610,monoatomic cation transport
903,XNR_RS01610,potassium ion transport
904,XNR_RS01610,biological_process
905,XNR_RS01610,monoatomic cation transmembrane transporter activity
906,XNR_RS01610,P-type potassium transmembrane transporter activity
907,XNR_RS01610,cellular process
908,XNR_RS01610,monoatomic ion transmembrane transporter activity
909,XNR_RS01610,inorganic cation transmembrane transporter activity
910,XNR_RS01610,potassium ion transmembrane transporter activity
911,XNR_RS01610,inorganic molecular entity transmembrane transporter activity
912,XNR_RS01610,primary active transmembrane transporter activity
913,XNR_RS01610,ATPase-coupled transmembrane transporter activity
914,XNR_RS01610,P-type ion transporter activity
915,XNR_RS01610,inorganic cation transmembrane transport
916,XNR_RS01610,membrane
917,XNR_RS01610,membrane
918,XNR_RS01610,pyrophosphatase activity
919,XNR_RS01610,hydrolase activity
920,XNR_RS01610,"hydrolase activity, acting on acid anhydrides"
921,XNR_RS01610,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides"
922,XNR_RS01610,ATP hydrolysis activity
923,XNR_RS01610,ribonucleoside triphosphate phosphatase activity
924,XNR_RS01610,ATPase-coupled monoatomic cation transmembrane transporter activity
925,XNR_RS01610,active transmembrane transporter activity
926,XNR_RS01610,active monoatomic ion transmembrane transporter activity
927,XNR_RS01610,transmembrane transporter activity
928,XNR_RS01610,inorganic cation transmembrane transporter activity
929,XNR_RS01610,metal ion transport
930,XNR_RS01610,obsolete intrinsic component of membrane
931,XNR_RS01610,monoatomic ion transmembrane transport
932,XNR_RS01610,ATP hydrolysis activity
933,XNR_RS01610,ATPase-coupled ion transmembrane transporter activity
934,XNR_RS01610,ATPase-coupled transmembrane transporter activity
935,XNR_RS01610,ATPase-coupled transmembrane transporter activity
936,XNR_RS01610,obsolete membrane part
