locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,operon
XNR_RS00090,XNR_RS00090,NC_020990.1,XNR_0018,17771,18079,-,hypothetical protein,-,Op13
XNR_RS31480,XNR_RS31480,NC_020990.1,XNR_0019,18145,21900,-,aminotransferase class I/II-fold pyridoxal phosphate-dependent enzyme,E,Op14
XNR_RS00100,XNR_RS00100,NC_020990.1,XNR_0020,21897,23018,-,DNA alkylation repair protein,L,Op15
XNR_RS31485,XNR_RS31485,NC_020990.1,XNR_0021,23011,29139,-,type I polyketide synthase,Q,Op16
XNR_RS00110,XNR_RS00110,NC_020990.1,XNR_0022,29178,29726,-,acyl carrier protein,Q,Op15
XNR_RS31490,XNR_RS31490,NC_020990.1,,29748,29939,-,KR domain-containing protein,X,Op17
XNR_RS00115,XNR_RS00115,NC_020990.1,XNR_0023,30095,30952,+,alpha/beta fold hydrolase,Q,Op18
XNR_RS00120,XNR_RS00120,NC_020990.1,XNR_0024,30945,41711,+,non-ribosomal peptide synthetase,Q,Op18
XNR_RS00125,XNR_RS00125,NC_020990.1,XNR_0025,41756,41998,-,DUF6411 family protein,-,Op19
XNR_RS00130,XNR_RS00130,NC_020990.1,XNR_0026,42345,43106,+,DeoR/GlpR family DNA-binding transcription regulator,K,Op20
XNR_RS00135,pfkB,NC_020990.1,XNR_0027,43103,44050,+,1-phosphofructokinase,G,Op20
XNR_RS00140,XNR_RS00140,NC_020990.1,XNR_0028,44163,46175,+,fructose-specific PTS transporter subunit EIIC,G,Op21
XNR_RS00145,XNR_RS00145,NC_020990.1,XNR_0029,46259,46537,+,HPr family phosphocarrier protein,G,Op22
XNR_RS00150,XNR_RS00150,NC_020990.1,XNR_0030,46534,48204,+,PEP-utilizing enzyme,G,Op22
XNR_RS00155,XNR_RS00155,NC_020990.1,XNR_0031,48290,48709,-,SRPBCC family protein,S,Op23
XNR_RS00160,XNR_RS00160,NC_020990.1,,48744,49590,-,aldo/keto reductase,C,Op23
XNR_RS30400,XNR_RS30400,NC_020990.1,XNR_0033,49636,49791,+,hypothetical protein,X,Op24
XNR_RS00165,XNR_RS00165,NC_020990.1,XNR_0034,49912,52965,+,Tn3 family transposase,L,Op25
XNR_RS00170,XNR_RS00170,NC_020990.1,XNR_0035,52998,53180,-,hypothetical protein,-,Op26
XNR_RS00175,XNR_RS00175,NC_020990.1,XNR_0036,53254,54003,-,hypothetical protein,-,Op27
XNR_RS00180,XNR_RS00180,NC_020990.1,XNR_0037,54223,55539,-,hypothetical protein,-,Op28
XNR_RS31495,XNR_RS31495,NC_020990.1,XNR_0038,55701,55835,+,hypothetical protein,-,Op29
XNR_RS00185,XNR_RS00185,NC_020990.1,XNR_0039,56156,56626,-,hypothetical protein,-,Op30
XNR_RS00190,XNR_RS00190,NC_020990.1,XNR_0040,57020,57994,-,site-specific integrase,L,Op31
XNR_RS00195,XNR_RS00195,NC_020990.1,XNR_0041,58185,59027,+,DUF4073 domain-containing protein,G,Op32
XNR_RS00200,XNR_RS00200,NC_020990.1,XNR_0042,59126,59407,+,hypothetical protein,-,Op33
XNR_RS00205,XNR_RS00205,NC_020990.1,XNR_0043,59433,59915,-,GreA/GreB family elongation factor,K,Op34
XNR_RS00210,XNR_RS00210,NC_020990.1,XNR_0044,59982,61265,-,DUF3533 domain-containing protein,Q,Op35
XNR_RS00215,XNR_RS00215,NC_020990.1,XNR_0045,61317,61970,-,hypothetical protein,-,Op36
XNR_RS00220,rpmF,NC_020990.1,XNR_0047,62167,62337,+,50S ribosomal protein L32,J,Op37
XNR_RS00225,XNR_RS00225,NC_020990.1,XNR_0048,62393,63274,-,class I SAM-dependent methyltransferase,J,Op38
XNR_RS00230,XNR_RS00230,NC_020990.1,XNR_0049,63382,63984,-,XRE family transcriptional regulator,K,Op39
XNR_RS00235,XNR_RS00235,NC_020990.1,XNR_0050,64083,64424,+,helix-turn-helix transcriptional regulator,K,Op40
XNR_RS00240,XNR_RS00240,NC_020990.1,XNR_0051,64421,65383,+,hypothetical protein,-,Op40
XNR_RS00245,XNR_RS00245,NC_020990.1,XNR_0052,65396,66271,+,phosphatase PAP2 family protein,I,Op40
XNR_RS00250,XNR_RS00250,NC_020990.1,XNR_0053,66443,67870,+,MFS transporter,E,Op41
XNR_RS00255,XNR_RS00255,NC_020990.1,XNR_0054,68061,69992,-,GAF domain-containing protein,Q,Op42
XNR_RS00260,XNR_RS00260,NC_020990.1,XNR_0055,70480,71280,-,3-hydroxybutyrate dehydrogenase,I,Op43
XNR_RS00265,XNR_RS00265,NC_020990.1,XNR_0056,71388,71927,-,NUDIX domain-containing protein,F,Op44
XNR_RS00270,lnt,NC_020990.1,XNR_0057,72005,73624,-,apolipoprotein N-acyltransferase,M,Op45
XNR_RS00275,XNR_RS00275,NC_020990.1,XNR_0058,73684,75120,-,DEAD/DEAH box helicase,L,Op46
XNR_RS00280,XNR_RS00280,NC_020990.1,XNR_0059,75188,75772,-,hypothetical protein,-,Op47
XNR_RS00285,XNR_RS00285,NC_020990.1,XNR_0060,75845,76630,-,aspartate/glutamate racemase family protein,M,Op48
XNR_RS00290,XNR_RS00290,NC_020990.1,XNR_0061,76723,77913,-,TerD family protein,T,Op49
XNR_RS00295,XNR_RS00295,NC_020990.1,XNR_0062,78247,78768,+,hypothetical protein,-,Op50
XNR_RS00300,XNR_RS00300,NC_020990.1,XNR_0063,78844,79713,+,MOSC domain-containing protein,S,Op51
XNR_RS00305,XNR_RS00305,NC_020990.1,XNR_0064,79800,80405,+,hypothetical protein,-,Op52
XNR_RS00310,XNR_RS00310,NC_020990.1,XNR_0066,80532,82961,+,right-handed parallel beta-helix repeat-containing protein,O,Op53
XNR_RS00315,XNR_RS00315,NC_020990.1,XNR_0067,82931,85369,-,hypothetical protein,I,Op54
XNR_RS00320,XNR_RS00320,NC_020990.1,XNR_0069,85637,86443,+,DeoR/GlpR family DNA-binding transcription regulator,K,Op55
XNR_RS00325,XNR_RS00325,NC_020990.1,XNR_0070,86455,87552,-,PLP-dependent cysteine synthase family protein,E,Op56
XNR_RS00330,XNR_RS00330,NC_020990.1,XNR_0071,87916,88236,+,hypothetical protein,-,Op57
XNR_RS00335,XNR_RS00335,NC_020990.1,XNR_0072,88483,89019,+,ATP-binding protein,T,Op58
XNR_RS00340,XNR_RS00340,NC_020990.1,XNR_0073,89108,90346,-,ROK family protein,G,Op59
XNR_RS00345,XNR_RS00345,NC_020990.1,XNR_0074,90398,91057,-,alpha-ketoglutarate-dependent dioxygenase AlkB,L,Op60
XNR_RS00350,XNR_RS00350,NC_020990.1,XNR_0075,91189,92406,+,MFS transporter,E,Op61
XNR_RS00355,XNR_RS00355,NC_020990.1,XNR_0076,92769,93416,-,hypothetical protein,-,Op62
XNR_RS00360,XNR_RS00360,NC_020990.1,XNR_0077,93731,94732,+,histidine kinase,T,Op63
XNR_RS00365,XNR_RS00365,NC_020990.1,XNR_0078,94729,95406,+,response regulator transcription factor,T,Op63
XNR_RS00370,XNR_RS00370,NC_020990.1,XNR_0079,95798,97021,-,geranylgeranyl reductase family protein,C,Op64
XNR_RS00375,XNR_RS00375,NC_020990.1,XNR_0080,97182,98549,+,dipeptidase,E,Op65
XNR_RS00380,XNR_RS00380,NC_020990.1,XNR_0081,98597,99577,-,pyridoxal-phosphate dependent enzyme,E,Op66
XNR_RS00385,XNR_RS00385,NC_020990.1,XNR_0082,99588,100610,-,NUDIX hydrolase,C,Op66
XNR_RS00390,XNR_RS00390,NC_020990.1,XNR_0083,100813,101784,-,ROK family protein,G,Op67
XNR_RS00395,XNR_RS00395,NC_020990.1,XNR_0084,102041,103081,+,LacI family DNA-binding transcriptional regulator,K,Op68
XNR_RS00400,XNR_RS00400,NC_020990.1,XNR_0085,103107,104408,-,aldolase,G,Op69
XNR_RS00405,XNR_RS00405,NC_020990.1,XNR_0086,104592,105554,-,electron transfer flavoprotein subunit alpha/FixB family protein,C,Op70
XNR_RS00410,XNR_RS00410,NC_020990.1,XNR_0087,105648,106433,-,electron transfer flavoprotein subunit beta/FixA family protein,C,Op71
XNR_RS00415,XNR_RS00415,NC_020990.1,XNR_0088,106635,107219,-,flavin reductase family protein,S,Op72
XNR_RS00420,XNR_RS00420,NC_020990.1,XNR_0089,107304,107660,-,thioredoxin family protein,C,Op73
XNR_RS00425,XNR_RS00425,NC_020990.1,XNR_0090,107931,108662,+,lysophospholipid acyltransferase family protein,I,Op74
XNR_RS00430,XNR_RS00430,NC_020990.1,XNR_0091,108850,109920,-,low specificity L-threonine aldolase,E,Op75
XNR_RS00435,XNR_RS00435,NC_020990.1,XNR_0092,109917,110684,-,SDR family oxidoreductase,I,Op75
XNR_RS00440,XNR_RS00440,NC_020990.1,XNR_0093,110690,112138,-,DUF6421 family protein,S,Op75
XNR_RS00445,XNR_RS00445,NC_020990.1,XNR_0094,112473,113174,+,glycerophosphodiester phosphodiesterase family protein,C,Op76
XNR_RS00450,XNR_RS00450,NC_020990.1,XNR_0095,113158,113709,-,GNAT family N-acetyltransferase,K,Op77
XNR_RS00455,XNR_RS00455,NC_020990.1,XNR_0096,113835,114227,+,VOC family protein,E,Op78
XNR_RS00460,XNR_RS00460,NC_020990.1,XNR_0097,114261,114791,-,MarR family transcriptional regulator,K,Op79
XNR_RS00465,XNR_RS00465,NC_020990.1,XNR_0098,114788,116482,-,FUSC family protein,K,Op79
XNR_RS00470,XNR_RS00470,NC_020990.1,XNR_0099,116714,117280,+,DUF5134 domain-containing protein,S,Op80
XNR_RS00475,XNR_RS00475,NC_020990.1,XNR_0100,117386,118321,+,M56 family metallopeptidase,O,Op81
XNR_RS00480,XNR_RS00480,NC_020990.1,XNR_0101,118398,119096,+,phosphatase PAP2 family protein,I,Op82
XNR_RS00485,XNR_RS00485,NC_020990.1,,119176,119686,-,N-acetyltransferase,Q,Op83
XNR_RS00490,XNR_RS00490,NC_020990.1,XNR_0103,120121,120843,+,HAD-IA family hydrolase,S,Op84
XNR_RS00495,XNR_RS00495,NC_020990.1,XNR_0104,120831,121076,-,DUF2630 family protein,S,Op85
XNR_RS00500,XNR_RS00500,NC_020990.1,XNR_0105,121264,122715,-,hypothetical protein,S,Op86
XNR_RS00505,XNR_RS00505,NC_020990.1,XNR_0106,122955,123617,+,DUF305 domain-containing protein,S,Op87
XNR_RS00510,XNR_RS00510,NC_020990.1,XNR_0107,123739,125136,+,nucleobase:cation symporter-2 family protein,F,Op88
XNR_RS00515,XNR_RS00515,NC_020990.1,XNR_0108,125065,125406,-,helix-turn-helix domain-containing protein,K,Op89
XNR_RS00520,XNR_RS00520,NC_020990.1,XNR_0109,125562,126638,+,NADH:flavin oxidoreductase/NADH oxidase,C,Op90
XNR_RS00525,XNR_RS00525,NC_020990.1,XNR_0110,126664,128001,-,hypothetical protein,-,Op91
XNR_RS00530,XNR_RS00530,NC_020990.1,XNR_0111,128257,129342,+,sialidase family protein,S,Op92
XNR_RS00535,XNR_RS00535,NC_020990.1,XNR_0112,129397,130074,-,uracil-DNA glycosylase,L,Op93
XNR_RS00540,XNR_RS00540,NC_020990.1,XNR_0113,130210,131250,+,ATPase BadF/BadG/BcrA/BcrD type,G,Op94
XNR_RS00545,XNR_RS00545,NC_020990.1,XNR_0114,131478,132401,+,hypothetical protein,S,Op95
XNR_RS00550,XNR_RS00550,NC_020990.1,XNR_0115,132466,133500,-,lactonase family protein,G,Op96
XNR_RS00555,XNR_RS00555,NC_020990.1,XNR_0116,133672,134094,+,hypothetical protein,-,Op97
XNR_RS00560,XNR_RS00560,NC_020990.1,XNR_0117,134282,138922,+,cation-translocating P-type ATPase,P,Op98
XNR_RS00565,XNR_RS00565,NC_020990.1,XNR_0118,139053,139526,+,Hsp20/alpha crystallin family protein,O,Op99
XNR_RS00570,XNR_RS00570,NC_020990.1,XNR_0119,139523,140947,+,glutamate decarboxylase,E,Op99
XNR_RS00575,XNR_RS00575,NC_020990.1,XNR_0120,141098,143470,+,FdhF/YdeP family oxidoreductase,C,Op100
XNR_RS00580,XNR_RS00580,NC_020990.1,XNR_0121,143505,145259,-,FUSC family protein,K,Op101
XNR_RS00585,XNR_RS00585,NC_020990.1,XNR_0122,145331,145774,-,molybdenum cofactor biosynthesis protein MoaE,H,Op102
XNR_RS00590,XNR_RS00590,NC_020990.1,XNR_0123,145827,147008,-,molybdopterin molybdotransferase MoeA,H,Op103
XNR_RS00595,moaA,NC_020990.1,XNR_0124,147124,148131,-,GTP 3'%2C8-cyclase MoaA,H,Op104
XNR_RS00600,XNR_RS00600,NC_020990.1,XNR_0125,148599,150890,+,FdhF/YdeP family oxidoreductase,C,Op105
XNR_RS00605,XNR_RS00605,NC_020990.1,XNR_0126,150903,152105,+,MFS transporter,E,Op105
XNR_RS00610,fdhD,NC_020990.1,XNR_0127,152173,152883,+,formate dehydrogenase accessory sulfurtransferase FdhD,C,Op106
XNR_RS00615,XNR_RS00615,NC_020990.1,XNR_0128,152893,153822,+,LysR family transcriptional regulator,K,Op106
XNR_RS00620,XNR_RS00620,NC_020990.1,XNR_0129,153827,154270,-,hypothetical protein,-,Op107
XNR_RS00625,XNR_RS00625,NC_020990.1,XNR_0130,154417,155052,+,DUF1345 domain-containing protein,C,Op108
XNR_RS00630,XNR_RS00630,NC_020990.1,XNR_0131,155065,156567,-,FUSC family protein,M,Op109
XNR_RS00635,XNR_RS00635,NC_020990.1,XNR_0132,156874,157344,+,Lrp/AsnC family transcriptional regulator,K,Op110
XNR_RS00640,XNR_RS00640,NC_020990.1,XNR_0133,157382,158080,+,HAD family phosphatase,S,Op110
XNR_RS00645,XNR_RS00645,NC_020990.1,XNR_0134,158112,159380,-,MFS transporter,G,Op111
XNR_RS00650,XNR_RS00650,NC_020990.1,XNR_0135,159544,160602,-,peptidase C39 family protein,S,Op112
XNR_RS00655,XNR_RS00655,NC_020990.1,XNR_0136,160641,162713,-,iron ABC transporter permease,P,Op112
XNR_RS00660,XNR_RS00660,NC_020990.1,XNR_0137,162737,163801,-,iron-siderophore ABC transporter substrate-binding protein,P,Op112
XNR_RS00665,XNR_RS00665,NC_020990.1,XNR_0138,163868,164731,-,ABC transporter ATP-binding protein,H,Op113
XNR_RS00670,XNR_RS00670,NC_020990.1,XNR_0139,164897,165766,-,AraC family transcriptional regulator,K,Op114
XNR_RS00675,XNR_RS00675,NC_020990.1,XNR_0140,165963,167375,+,sugar porter family MFS transporter,E,Op115
XNR_RS00680,zwf,NC_020990.1,XNR_0141,167432,168868,+,glucose-6-phosphate dehydrogenase,G,Op116
XNR_RS00685,XNR_RS00685,NC_020990.1,XNR_0142,168882,171110,-,serine/threonine-protein kinase,K,Op117
XNR_RS00690,XNR_RS00690,NC_020990.1,XNR_0143,171255,171980,-,(2Fe-2S)-binding protein,S,Op118
XNR_RS00695,XNR_RS00695,NC_020990.1,XNR_0144,171977,172360,-,hypothetical protein,C,Op118
XNR_RS00700,XNR_RS00700,NC_020990.1,XNR_0145,172797,174353,+,malate synthase,C,Op119
XNR_RS00705,XNR_RS00705,NC_020990.1,XNR_0146,174375,175814,-,short-chain fatty acyl-CoA regulator family protein,K,Op120
XNR_RS00710,XNR_RS00710,NC_020990.1,XNR_0147,176026,177534,+,MmgE/PrpD family protein,S,Op121
XNR_RS00715,prpB,NC_020990.1,XNR_0148,177534,178439,+,methylisocitrate lyase,G,Op121
XNR_RS00720,XNR_RS00720,NC_020990.1,XNR_0149,178457,179632,+,bifunctional 2-methylcitrate synthase/citrate synthase,C,Op121
XNR_RS00725,XNR_RS00725,NC_020990.1,XNR_0150,179743,180546,-,enoyl-CoA hydratase,I,Op122
XNR_RS00730,mmsB,NC_020990.1,XNR_0151,180543,181439,-,3-hydroxyisobutyrate dehydrogenase,I,Op122
XNR_RS00735,XNR_RS00735,NC_020990.1,XNR_0152,181436,182503,-,enoyl-CoA hydratase/isomerase family protein,I,Op122
XNR_RS00740,XNR_RS00740,NC_020990.1,XNR_0153,182500,183648,-,acyl-CoA dehydrogenase family protein,I,Op122
XNR_RS00745,XNR_RS00745,NC_020990.1,XNR_0154,183654,185177,-,CoA-acylating methylmalonate-semialdehyde dehydrogenase,C,Op122
XNR_RS00750,XNR_RS00750,NC_020990.1,XNR_0155,185872,186471,+,TetR/AcrR family transcriptional regulator,K,Op123
XNR_RS00755,XNR_RS00755,NC_020990.1,XNR_0156,186643,188160,+,MFS transporter,E,Op124
XNR_RS00760,XNR_RS00760,NC_020990.1,XNR_0157,188190,188783,+,TetR/AcrR family transcriptional regulator,K,Op124
XNR_RS00765,XNR_RS00765,NC_020990.1,XNR_0158,188992,190128,+,PQQ-dependent sugar dehydrogenase,G,Op125
XNR_RS00770,XNR_RS00770,NC_020990.1,XNR_0159,190197,192623,-,glycoside hydrolase family 3 C-terminal domain-containing protein,G,Op126
XNR_RS00775,XNR_RS00775,NC_020990.1,XNR_0160,192620,193441,-,carbohydrate ABC transporter permease,G,Op126
XNR_RS00780,XNR_RS00780,NC_020990.1,XNR_0161,193438,194331,-,sugar ABC transporter permease,G,Op126
XNR_RS00785,XNR_RS00785,NC_020990.1,XNR_0162,194328,195629,-,extracellular solute-binding protein,G,Op126
XNR_RS00790,XNR_RS00790,NC_020990.1,XNR_0163,195770,196801,+,LacI family DNA-binding transcriptional regulator,K,Op127
XNR_RS00795,XNR_RS00795,NC_020990.1,XNR_0164,196832,197254,-,secondary thiamine-phosphate synthase enzyme YjbQ,S,Op128
XNR_RS00800,XNR_RS00800,NC_020990.1,XNR_0165,197722,198603,+,ABC transporter permease,P,Op129
XNR_RS00805,XNR_RS00805,NC_020990.1,XNR_0166,198576,199391,+,ABC transporter ATP-binding protein,P,Op130
XNR_RS00810,XNR_RS00810,NC_020990.1,XNR_0167,199448,200494,+,ABC transporter substrate-binding protein,P,Op131
XNR_RS00815,XNR_RS00815,NC_020990.1,XNR_0168,200494,201660,+,LLM class flavin-dependent oxidoreductase,C,Op131
XNR_RS00820,XNR_RS00820,NC_020990.1,XNR_0169,201724,202833,+,NAD(P)-binding domain-containing protein,P,Op132
XNR_RS00825,mltG,NC_020990.1,XNR_0170,202862,203701,-,endolytic transglycosylase MltG,S,Op133
XNR_RS00830,XNR_RS00830,NC_020990.1,XNR_0171,203712,205565,-,ABC transporter ATP-binding protein,V,Op133
XNR_RS00835,XNR_RS00835,NC_020990.1,XNR_0172,205701,206171,+,MarR family transcriptional regulator,K,Op134
XNR_RS00840,XNR_RS00840,NC_020990.1,XNR_0173,206239,209175,+,FAD-binding and (Fe-S)-binding domain-containing protein,C,Op135
XNR_RS00845,XNR_RS00845,NC_020990.1,XNR_0174,209190,209927,-,L%2CD-transpeptidase family protein,S,Op136
XNR_RS00850,XNR_RS00850,NC_020990.1,XNR_0175,210129,211937,+,ABC transporter ATP-binding protein,V,Op137
XNR_RS00855,XNR_RS00855,NC_020990.1,XNR_0176,211934,213715,+,ABC transporter ATP-binding protein,V,Op137
XNR_RS00860,XNR_RS00860,NC_020990.1,XNR_0177,213775,214566,-,metal-dependent hydrolase,S,Op138
XNR_RS00865,XNR_RS00865,NC_020990.1,XNR_0178,214675,217248,+,DEAD/DEAH box helicase,L,Op139
XNR_RS00870,XNR_RS00870,NC_020990.1,XNR_0179,217292,218164,+,acyl-CoA thioesterase II,I,Op140
XNR_RS00875,XNR_RS00875,NC_020990.1,XNR_0180,218161,218694,+,tetratricopeptide repeat protein,S,Op140
XNR_RS00880,XNR_RS00880,NC_020990.1,XNR_0181,218664,219530,-,DUF6397 family protein,-,Op141
XNR_RS00885,XNR_RS00885,NC_020990.1,XNR_0182,219778,220197,-,roadblock/LC7 domain-containing protein,S,Op142
XNR_RS00890,XNR_RS00890,NC_020990.1,XNR_0183,220291,220719,+,PPOX class F420-dependent oxidoreductase,S,Op143
XNR_RS00895,XNR_RS00895,NC_020990.1,XNR_0184,220747,221325,-,ATP/GTP-binding protein,S,Op144
XNR_RS00900,XNR_RS00900,NC_020990.1,XNR_0185,221513,222112,+,methyltransferase domain-containing protein,Q,Op145
XNR_RS00905,XNR_RS00905,NC_020990.1,XNR_0186,222119,223042,-,oxygenase MpaB family protein,S,Op146
XNR_RS00910,XNR_RS00910,NC_020990.1,XNR_0187,223259,224080,+,hypothetical protein,-,Op147
XNR_RS00915,XNR_RS00915,NC_020990.1,XNR_0188,224222,225634,+,tannase/feruloyl esterase family alpha/beta hydrolase,Q,Op148
XNR_RS00920,XNR_RS00920,NC_020990.1,XNR_0189,225648,225830,-,hypothetical protein,-,Op149
XNR_RS00925,XNR_RS00925,NC_020990.1,XNR_0190,225935,227005,-,acyl-CoA desaturase,I,Op150
XNR_RS00930,XNR_RS00930,NC_020990.1,XNR_0191,227372,230248,+,DEAD/DEAH box helicase,L,Op151
XNR_RS00935,XNR_RS00935,NC_020990.1,XNR_0192,230305,231588,+,hypothetical protein,S,Op152
XNR_RS00940,XNR_RS00940,NC_020990.1,XNR_0193,231863,232210,+,hypothetical protein,M,Op153
XNR_RS31500,XNR_RS31500,NC_020990.1,XNR_0194,232290,232820,-,hypothetical protein,X,Op154
XNR_RS00950,xylA,NC_020990.1,XNR_0195,232953,234119,-,xylose isomerase,G,Op155
XNR_RS00955,xylB,NC_020990.1,XNR_0196,234306,235736,+,xylulokinase,G,Op156
XNR_RS00960,XNR_RS00960,NC_020990.1,XNR_0197,235837,237327,-,PepSY domain-containing protein,S,Op157
XNR_RS00965,XNR_RS00965,NC_020990.1,XNR_0198,237426,238100,-,hypothetical protein,-,Op158
XNR_RS00970,XNR_RS00970,NC_020990.1,XNR_0199,238404,239006,+,N-acetylmuramoyl-L-alanine amidase,V,Op159
XNR_RS00975,XNR_RS00975,NC_020990.1,XNR_0200,239061,240260,-,cytochrome P450,Q,Op160
XNR_RS00980,XNR_RS00980,NC_020990.1,XNR_0201,240301,241356,-,NADP-dependent oxidoreductase,S,Op160
XNR_RS00985,XNR_RS00985,NC_020990.1,XNR_0202,241353,243026,-,NAD(P)/FAD-dependent oxidoreductase,Q,Op160
XNR_RS00990,XNR_RS00990,NC_020990.1,XNR_0203,243080,244762,-,NAD(P)/FAD-dependent oxidoreductase,Q,Op161
XNR_RS00995,XNR_RS00995,NC_020990.1,XNR_0204,244752,254162,-,amino acid adenylation domain-containing protein,Q,Op161
XNR_RS01000,XNR_RS01000,NC_020990.1,XNR_0205,254234,255178,-,sterol desaturase family protein,I,Op162
XNR_RS01005,XNR_RS01005,NC_020990.1,XNR_0206,255729,256247,+,SRPBCC family protein,C,Op163
XNR_RS01010,XNR_RS01010,NC_020990.1,XNR_0207,256285,258573,+,FdhF/YdeP family oxidoreductase,C,Op163
XNR_RS01015,XNR_RS01015,NC_020990.1,XNR_0208,258875,259759,+,lysozyme,M,Op164
XNR_RS01020,XNR_RS01020,NC_020990.1,XNR_0209,259827,262280,-,hypothetical protein,D,Op165
XNR_RS01025,XNR_RS01025,NC_020990.1,XNR_0210,262454,263344,-,S1 family peptidase,O,Op166
XNR_RS01035,XNR_RS01035,NC_020990.1,XNR_0212,263837,266464,-,AAA family ATPase,K,Op167
XNR_RS01040,XNR_RS01040,NC_020990.1,XNR_0213,266631,267176,+,DUF309 domain-containing protein,S,Op168
XNR_RS01045,XNR_RS01045,NC_020990.1,XNR_0214,267247,269331,+,MDR family MFS transporter,E,Op169
XNR_RS01050,XNR_RS01050,NC_020990.1,XNR_0215,269412,269870,-,MaoC family dehydratase,I,Op170
XNR_RS01055,XNR_RS01055,NC_020990.1,XNR_0216,269911,271245,-,MFS transporter,E,Op170
XNR_RS01060,XNR_RS01060,NC_020990.1,XNR_0217,271452,272690,-,acetyl-CoA C-acetyltransferase,I,Op171
XNR_RS01065,XNR_RS01065,NC_020990.1,XNR_0218,272828,273733,-,LysR family transcriptional regulator,K,Op172
XNR_RS01070,XNR_RS01070,NC_020990.1,XNR_0219,273943,274854,+,CoA transferase subunit A,I,Op173
XNR_RS01075,XNR_RS01075,NC_020990.1,XNR_0220,274910,275722,+,3-oxoadipate--succinyl-CoA transferase subunit B,I,Op174
XNR_RS01080,XNR_RS01080,NC_020990.1,XNR_0221,275782,277302,+,3-hydroxyacyl-CoA dehydrogenase NAD-binding domain-containing protein,I,Op175
XNR_RS01085,XNR_RS01085,NC_020990.1,XNR_0222,277389,278549,+,acyl-CoA dehydrogenase family protein,I,Op176
XNR_RS01090,XNR_RS01090,NC_020990.1,XNR_0223,278933,280213,+,YeeE/YedE family protein,O,Op177
XNR_RS01095,XNR_RS01095,NC_020990.1,XNR_0224,280656,282638,+,hypothetical protein,S,Op178
XNR_RS01100,XNR_RS01100,NC_020990.1,XNR_0225,282646,284133,+,branched-chain amino acid ABC transporter substrate-binding protein,E,Op178
XNR_RS01105,XNR_RS01105,NC_020990.1,XNR_0226,284226,285437,+,CaiB/BaiF CoA-transferase family protein,C,Op179
XNR_RS01110,XNR_RS01110,NC_020990.1,XNR_0227,285491,286903,+,FAD-dependent oxidoreductase,C,Op180
XNR_RS01115,XNR_RS01115,NC_020990.1,XNR_0228,286870,287247,-,VOC family protein,E,Op181
XNR_RS01120,XNR_RS01120,NC_020990.1,XNR_0229,287272,287826,-,type 1 glutamine amidotransferase,V,Op181
XNR_RS01125,XNR_RS01125,NC_020990.1,XNR_0230,288308,289171,+,glycoside hydrolase family 16 protein,G,Op182
XNR_RS01130,XNR_RS01130,NC_020990.1,XNR_0231,289439,289783,+,helix-turn-helix transcriptional regulator,K,Op183
XNR_RS01135,XNR_RS01135,NC_020990.1,XNR_0232,289828,290430,-,ATP-dependent Clp protease proteolytic subunit,O,Op184
